U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.634,4.131,3.599,3.068,2.546,2.033,1.596,1.084,0.561,0.134,4.568,3.969,3.523,3.001,2.498,2.014,1.482,1.046,0.467,0.03,4.492,4.036,3.504,3.011,2.517,1.938,1.463,0.979,0.505,0.049
4.615,4.131,3.618,3.096,2.555,2.004,1.587,1.131,0.599,0.144,4.586,3.941,3.523,3.001,2.489,1.957,1.492,1.036,0.467,0.077,4.511,4.045,3.523,3.001,2.546,1.976,1.501,0.979,0.514,0.039
4.615,4.15,3.59,3.049,2.574,2.052,1.625,1.074,0.628,0.106,4.596,3.979,3.533,3.03,2.489,2.004,1.454,1.036,0.476,0.068,4.52,4.045,3.495,2.992,2.527,1.976,1.501,1.017,0.505,0.096
4.643,4.131,3.628,3.068,2.564,2.061,1.577,1.093,0.58,0.153,4.558,4.007,3.514,2.992,2.47,1.947,1.511,1.027,0.486,0.106,4.511,4.055,3.485,2.982,2.536,1.995,1.482,0.97,0.476,0.058
4.615,4.14,3.618,3.068,2.527,2.033,1.549,1.141,0.58,0.163,4.549,3.979,3.542,3.03,2.47,1.976,1.425,1.055,0.505,0.096,4.511,4.026,3.504,3.001,2.536,1.966,1.482,1.008,0.495,0.068
4.634,4.131,3.58,3.077,2.583,2.042,1.558,1.122,0.571,0.153,4.549,3.941,3.533,3.02,2.489,1.976,1.492,1.017,0.476,0.077,4.511,4.026,3.485,2.992,2.517,1.957,1.482,0.97,0.514,0.049
4.634,4.14,3.618,3.058,2.574,2.052,1.577,1.103,0.561,0.172,4.558,3.96,3.533,3.049,2.508,1.966,1.492,0.96,0.457,0.02,4.511,4.007,3.514,2.992,2.489,1.966,1.492,1.008,0.505,0.068
4.634,4.112,3.599,3.068,2.564,2.042,1.568,1.084,0.59,0.163,4.53,3.95,3.514,3.049,2.508,1.966,1.473,1.055,0.486,0.049,4.511,4.036,3.495,3.001,2.489,1.985,1.492,1.008,0.476,0.096
4.634,4.15,3.58,3.087,2.574,2.061,1.587,1.084,0.571,0.163,4.577,3.979,3.523,3.058,2.498,1.976,1.482,1.103,0.495,0.077,4.501,4.026,3.495,2.982,2.508,1.966,1.511,1.008,0.486,0.058
4.624,4.112,3.599,3.058,2.546,2.033,1.577,1.093,0.609,0.125,4.549,3.931,3.523,3.058,2.508,1.966,1.482,1.065,0.467,0.039,4.52,4.026,3.495,2.992,2.498,1.966,1.473,0.998,0.505,0.087
4.634,4.112,3.618,3.077,2.546,2.061,1.539,1.074,0.58,0.172,4.577,3.95,3.571,3.001,2.517,1.957,1.454,1.046,0.476,0.096,4.52,4.036,3.504,2.973,2.517,1.966,1.482,0.979,0.505,0.087
4.615,4.15,3.59,3.077,2.555,2.08,1.539,1.112,0.59,0.125,4.577,3.96,3.533,3.068,2.489,1.957,1.501,0.989,0.476,0.039,4.501,4.036,3.495,2.992,2.498,1.966,1.482,0.97,0.467,0.068
4.634,4.15,3.58,3.058,2.564,2.042,1.577,1.122,0.561,0.106,4.53,3.979,3.542,2.992,2.479,1.985,1.444,1.112,0.438,0.077,4.511,4.036,3.466,3.02,2.508,1.966,1.482,0.989,0.476,0.058
